day_label,date,activity,type,time_1,timezone_1_label,time_2,timezone_2_label
June 22,2026-06-22,Arrivals & Check-in,break,07:30,"Time (MT)",09:30,"Time (ET)"
June 22,2026-06-22,"Welcome (Coordinator)",activity,08:00,"Time (MT)",10:00,"Time (ET)"
June 22,2026-06-22,Intro to RNAseq course/concepts (lecture by Instructor),activity,08:30,"Time (MT)",10:30,"Time (ET)"
June 22,2026-06-22,Break (30min),break,09:30,"Time (MT)",11:30,"Time (ET)"
June 22,2026-06-22,AWS Login and Set Up,activity,10:00,"Time (MT)",12:00,"Time (ET)"
June 22,2026-06-22,Module 0 - RNAseq setup - environment and tool installation (Practical),activity,10:30,"Time (MT)",12:30,"Time (ET)"
June 22,2026-06-22,"Module 1 - RNAseq inputs - reference genome, annotations (Practical)",activity,11:00,"Time (MT)",13:00,"Time (ET)"
June 22,2026-06-22,Lunch (1hr),break,11:30,"Time (MT)",13:30,"Time (ET)"
June 22,2026-06-22,"Module 1 - RNAseq inputs - indexing, raw data (Practical)",activity,12:30,"Time (MT)",14:30,"Time (ET)"
June 22,2026-06-22,Module 1 - RNAseq inputs - pre-alignment QC (Practical),activity,13:00,"Time (MT)",15:00,"Time (ET)"
June 22,2026-06-22,Break (30min),break,13:30,"Time (MT)",15:30,"Time (ET)"
June 22,2026-06-22,Module 2 - RNA alignment concepts and file formats (lecture by instructor),activity,14:00,"Time (MT)",16:00,"Time (ET)"
June 22,2026-06-22,"Module 2 - Alignment - trimming, alignment (Practical)",activity,15:00,"Time (MT)",17:00,"Time (ET)"
June 22,2026-06-22,(Optional) Team Assignment 1,activity,16:00,"Time (MT)",18:00,"Time (ET)"
June 22,2026-06-22,End of Day 1,break,17:00,"Time (MT)",19:00,"Time (ET)"
June 23,2026-06-23,Arrivals,break,07:30,"Time (MT)",09:30,"Time (ET)"
June 23,2026-06-23,"Module 2- RNA alignment - alignment indexing, IGV, allele expression (Practical)",activity,08:00,"Time (MT)",10:00,"Time (ET)"
June 23,2026-06-23,Break (30min),break,09:30,"Time (MT)",11:30,"Time (ET)"
June 23,2026-06-23,Module 2 - RNA alignment - post-alignment QC (Practical),activity,10:00,"Time (MT)",12:00,"Time (ET)"
June 23,2026-06-23,Module 3 - RNA Expression and Differential Expression (lecture by instructor),activity,11:00,"Time (MT)",13:00,"Time (ET)"
June 23,2026-06-23,Lunch (1hr),break,11:30,"Time (MT)",13:30,"Time (ET)"
June 23,2026-06-23,"Module 3 - RNA Expression and DE - stringtie, htseq, ERCC expression (Practical)",activity,12:30,"Time (MT)",14:30,"Time (ET)"
June 23,2026-06-23,Break (30min),break,13:30,"Time (MT)",15:30,"Time (ET)"
June 23,2026-06-23,"Module 3 - RNA Expression and DE - ballgown, ERCC DE (Practical)",activity,14:00,"Time (MT)",16:00,"Time (ET)"
June 23,2026-06-23,Module 3 - RNA Expression and DE - DESeq2 (Practical),activity,15:00,"Time (MT)",17:00,"Time (ET)"
June 23,2026-06-23,(Optional) Team Assignment 2,activity,16:00,"Time (MT)",18:00,"Time (ET)"
June 23,2026-06-23,End of Day 2,break,17:00,"Time (MT)",19:00,"Time (ET)"
June 24,2026-06-24,Arrivals,break,07:30,"Time (MT)",09:30,"Time (ET)"
June 24,2026-06-24,Module 3 - RNA Expression and DE - DE comparisons (Practical),activity,08:00,"Time (MT)",10:00,"Time (ET)"
June 24,2026-06-24,Module 3 - RNA Expression and DE - DE vis ballgown (Practical),activity,08:30,"Time (MT)",10:30,"Time (ET)"
June 24,2026-06-24,Module 3 - RNA Expression and DE - DE vis DESeq2 (Practical),activity,09:00,"Time (MT)",11:00,"Time (ET)"
June 24,2026-06-24,Break (30min),break,10:00,"Time (MT)",12:00,"Time (ET)"
June 24,2026-06-24,Module 3 - RNA Expression and DE - DE vis advanced (Practical),activity,10:30,"Time (MT)",12:30,"Time (ET)"
June 24,2026-06-24,Class photo + Lunch (1h),break,11:30,"Time (MT)",13:30,"Time (ET)"
June 24,2026-06-24,Module 3 - Pathway Analysis (Practical),activity,12:30,"Time (MT)",14:30,"Time (ET)"
June 24,2026-06-24,Module 3 - Batch Correction (Practical),activity,13:30,"Time (MT)",15:30,"Time (ET)"
June 24,2026-06-24,Break (30min),break,14:30,"Time (MT)",16:30,"Time (ET)"
June 24,2026-06-24,Module 3 - Batch Correction (Practical),activity,15:00,"Time (MT)",17:00,"Time (ET)"
